CODE,REPORT_MONTH,CURRENT_BULLETINS_SENT,REPROC_BULLETINS_SENT,BULLETIN_DIFFERENCE,CURRENT_BULLETIN_RCPT,REPROC_BULLETIN_RCPT,BULLETIN_RCPT_DIFFERENCE
AKDHSS,JAN 2013,73,76,3,38173,38908,735
CAACE,FEB 2013,15,17,2,5963,5965,2
CAACE,MAR 2013,22,24,2,15317,15319,2
CACARLS,FEB 2013,18,20,2,14066,15383,1317
CACCTRAN,JAN 2013,67,69,2,36999,37969,970
CACCTRAN,FEB 2013,23,26,3,11434,12931,1497
CACCTRAN,MAR 2013,42,46,4,21852,23852,2000
CACULVER,FEB 2013,29,32,3,50654,54247,3593
CAELDOR,FEB 2013,83,85,2,63893,65098,1205
CAELKGR,FEB 2013,89,92,3,37821,38712,891
CAFAIRF,MAR 2013,17,20,3,7461,8594,1133
CAFULLERTON,MAR 2013,86,90,4,8718,9577,859
CAGOLDEN,MAR 2013,19,21,2,56647,61245,4598
CAGOLDEN,NOV 2013,18,20,2,41040,46939,5899
CAMENLO,FEB 2013,91,95,4,33250,34662,1412
CAMENLO,MAR 2013,99,103,4,39765,41320,1555
CAMENLO,NOV 2013,77,80,3,38365,39953,1588
CAOAKL,JUN 2013,88,90,2,46342,47314,972
CAPINOLE,JAN 2013,34,36,2,2779,2980,201
CAPINOLE,FEB 2013,38,40,2,3554,3656,102
CAPOAK,FEB 2013,61,63,2,27785,28361,576
CAPOAK,JUN 2013,90,92,2,34020,34600,580
CARIVERSIDE,MAY 2013,106,113,7,1479699,1485493,5794
CARIVERSIDE,AUG 2013,99,101,2,1476165,1610516,134351
CARIVSHERIFF,FEB 2013,209,212,3,336812,342047,5235
CARIVSHERIFF,MAR 2013,253,255,2,384393,387905,3512
CARIVSHERIFF,MAY 2013,291,296,5,441025,450091,9066
CARIVSHERIFF,JUN 2013,294,297,3,436588,441639,5051
CASACRA,JUL 2013,27,29,2,42899,45738,2839
CASAND,MAY 2013,205,207,2,394211,398777,4566
CASAND,JUN 2013,159,164,5,258499,270489,11990
CASANTA,MAR 2013,41,45,4,42149,43474,1325
CASANTA,NOV 2013,24,26,2,39069,40112,1043
CASFMTA,OCT 2013,292,296,4,1051,1067,16
CASFMTA,NOV 2013,552,556,4,13303,13315,12
CASMATEO,NOV 2013,45,48,3,20506,21426,920
CASONOMA,FEB 2013,94,97,3,94163,97062,2899
CASONOMA,MAR 2013,115,117,2,116858,119183,2325
CASONOMA,AUG 2013,98,100,2,120771,127647,6876
CASONOMA,NOV 2013,98,102,4,128437,136284,7847
CASRAMON,MAR 2013,92,94,2,185349,185671,322
CASRAMON,JUN 2013,99,101,2,261342,261682,340
CASRAMON,NOV 2013,91,94,3,218528,219474,946
CATRANBART,FEB 2013,198,201,3,741729,772801,31072
CATRANBART,MAR 2013,249,253,4,833800,839364,5564
CATRANBART,JUL 2013,233,240,7,1311458,1356437,44979
CATRANBART,SEP 2013,250,252,2,1598664,1603409,4745
CATRANBART,OCT 2013,252,254,2,2308425,2313091,4666
CATRANBART,DEC 2013,209,214,5,1284117,1298055,13938
CAVTA,FEB 2013,37,40,3,21374,23186,1812
CNKELOWNA,FEB 2013,76,79,3,83979,85336,1357
CNKELOWNA,MAR 2013,81,83,2,88737,89835,1098
COAURORA,JAN 2013,103,107,4,17633,18094,461
COAURORA,FEB 2013,99,102,3,14985,15671,686
COAURORA,MAR 2013,191,199,8,14997,21194,6197
CODOT,FEB 2013,703,706,3,1756259,1761615,5356
CODOT,MAR 2013,855,872,17,2131272,2173312,42040
CODOT,JUN 2013,471,478,7,1652506,1694486,41980
CODOT,JUL 2013,579,581,2,2017683,2023302,5619
CODOT,AUG 2013,700,703,3,2153282,2173792,20510
CODOT,OCT 2013,710,713,3,1809227,1817045,7818
CODOT,NOV 2013,732,736,4,1881196,1887740,6544
CODOT,DEC 2013,645,648,3,1873232,1891745,18513
COTRANRTD,AUG 2013,206,208,2,221452,222559,1107
DCWASH,MAR 2013,101,103,2,587589,587894,305
EUEPDA,FEB 2013,1229,1233,4,7030,7036,6
EUEPDA,MAR 2013,1449,1453,4,9897,9911,14
EUEPDA,MAY 2013,1479,1481,2,19201,19216,15
EUEPDA,AUG 2013,481,483,2,7270,7284,14
EUEPDA,OCT 2013,1901,1905,4,38236,38287,51
EUEPDA,NOV 2013,1538,1540,2,33247,33272,25
EUEPDE,FEB 2013,1291,1299,8,95086,95636,550
EUEPEL,MAR 2013,1445,1447,2,63394,63461,67
EUEPEN,JAN 2013,946,948,2,307279,307490,211
EUEPEN,FEB 2013,768,778,10,347934,350870,2936
EUEPEN,MAR 2013,872,877,5,487094,489144,2050
EUEPEN,APR 2013,785,787,2,509579,510038,459
EUEPEN,MAY 2013,915,918,3,665861,667487,1626
EUEPEN,JUN 2013,853,858,5,679263,682267,3004
EUEPEN,JUL 2013,757,760,3,617932,620562,2630
EUEPEN,AUG 2013,301,305,4,242848,244709,1861
EUEPEN,SEP 2013,947,949,2,749681,750455,774
EUEPEN,OCT 2013,1339,1347,8,1208345,1215094,6749
EUEPEN,NOV 2013,1174,1180,6,1193743,1198355,4612
EUEPES,MAR 2013,1485,1487,2,75308,75373,65
EUEPET,JAN 2013,1573,1575,2,1709,1711,2
EUEPET,FEB 2013,1244,1248,4,1410,1414,4
EUEPET,MAR 2013,1434,1439,5,1674,1679,5
EUEPET,APR 2013,1254,1256,2,1473,1475,2
EUEPET,MAY 2013,1524,1526,2,2134,2136,2
EUEPET,JUN 2013,1414,1416,2,2183,2185,2
EUEPET,JUL 2013,1125,1128,3,1829,1835,6
EUEPET,AUG 2013,471,474,3,928,931,3
EUEPET,SEP 2013,1435,1437,2,3373,3375,2
EUEPET,OCT 2013,1876,1880,4,4918,4923,5
EUEPET,NOV 2013,1544,1546,2,5232,5234,2
EUEPET,DEC 2013,1293,1295,2,4238,4240,2
EUEPFI,JAN 2013,1570,1572,2,8422,8427,5
EUEPFI,FEB 2013,1271,1275,4,6916,6925,9
EUEPFI,MAR 2013,1470,1474,4,9872,9890,18
EUEPFI,NOV 2013,1565,1567,2,29352,29368,16
EUEPFI,DEC 2013,1293,1295,2,22140,22158,18
EUEPHR,AUG 2013,334,339,5,2645,2684,39
